2585,Golden Air,,DC,GAO,GOLDEN,Sweden,Y,1,0,1
2538,Georgian Airways,,A9,TGZ,TAMAZI,Georgia,Y,1,0,1
2264,Excel Airways,,JN,XLA,EXPO,United Kingdom,Y,1,0,1
2193,Empresa Ecuatoriana De Aviacion,,EU,EEA,ECUATORIANA,Ecuador,Y,1,0,1
2028,Dinar,,D7,RDN,AERO DINAR,Argentina,N,1,0,1
1942,Cyprus Airways,,CY,CYP,CYPRUS,Cyprus,Y,1,0,1
10741,China United,,KN,,,China,Y,1,0,1
1682,Cayman Airways,,KX,CAY,CAYMAN,Cayman Islands,Y,1,0,1
11811,AlMasria Universal Airlines,,UJ,LMU,ALMASRIA,Egypt,Y,1,0,1
2417,AirAsia X,FlyAsianXpress,D7,XAX,XANADU,Malaysia,Y,1,0,1
576,AirAsia,Air Asia,AK,AXM,ASIAN EXPRESS,Malaysia,Y,1,0,1
4234,Air Rarotonga,,GZ,RAR,,Cook Islands,Y,1,0,1
569,Air India Express,,IX,AXB,EXPRESS INDIA,India,Y,1,0,1
329,Air Arabia,,G9,ABY,ARABIA,United Arab Emirates,Y,1,0,1
412,Aerolineas Argentinas,,AR,ARG,ARGENTINA,Argentina,Y,1,0,1
2104,East African,,QU,UGX,CRANE,Uganda,Y,2,0,2
16136,Caucasus Airlines,,NS,,,Georgia,Y,2,0,2
16415,Camair-co,,QC,,,Cameroon,Y,2,0,2
476,Airlines Of Tasmania,,FO,ATM,AIRTAS,Australia,Y,2,0,2
153,Air Namibia,,SW,NMB,NAMIBIA,Namibia,Y,2,0,2
316,Air Macau,,NX,AMU,AIR MACAO,Macao,Y,2,0,2
778,Air Corridor,,QC,CRD,AIR CORRIDOR,Mozambique,N,2,0,2
1908,Corsairfly,,SS,CRL,CORSAIR,France,Y,3,0,3
6183,Braathens,Braathens SAFE,BU,BRA,Braathens,Norway,N,3,0,3
10118,Blue Sky America,,BU,BKY,,United States,N,3,0,3
16508,Baikotovitchestrian Airlines ,,BU,BUU,,American Samoa,Y,3,0,3
1403,Bahamasair,,UP,BHS,BAHAMAS,Bahamas,Y,3,0,3
319,Air Seychelles,,HM,SEY,SEYCHELLES,Seychelles,Y,3,0,3
242,Air Malta,,KM,AMC,AIR MALTA,Malta,Y,3,0,3
90,Air Europa,,UX,AEA,EUROPA,Spain,Y,3,0,3
2638,Gulf Air Bahrain,,GF,GBA,GULF BAHRAIN,Bahrain,Y,4,0,4
2622,Grupo TACA,TACA,TA,TAT,TACA-COSTARICA,Costa Rica,Y,4,0,4
18228,Chicago Express (C8),ATA Connection,C8,,,United States,N,4,0,4
1750,Chicago Express,,C8,WDY,WINDY CITY,United States,N,4,0,4
1663,Caribbean Airlines,,BW,BWA,CARIBBEAN AIRLINES,Trinidad and Tobago,Y,4,0,4
1478,Belavia Belarusian Airlines,,B2,BRU,BELARUS AVIA,Belarus,Y,4,0,4
13983,Azul,Azul Linhas Aéreas Brasileiras,AD,AZU,,Brazil,Y,4,0,4
199,Airbus Industrie,,AP,AIB,AIRBUS INDUSTRIE,France,N,4,0,4
1156,Air Paradise International,,AD,PRZ,RADISAIR,Indonesia,N,4,0,4
240,Air One,,AP,ADH,HERON,Italy,Y,4,0,4
139,Air Caledonie International,,SB,ACI,AIRCALIN,France,Y,4,0,4
2468,Frontier Airlines,,F9,FFT,FRONTIER FLIGHT,United States,Y,5,0,5
1954,DAT Danish Air Transport,,DX,DTR,DANISH,Denmark,Y,5,0,5
1946,Czech Airlines,CSA Czech Airlines,OK,CSA,CSA-LINES,Czech Republic,Y,5,0,5
995,Atlasjet,,KK,KKK,ATLASJET,Turkey,Y,5,0,5
462,Astrakhan Airlines,,OB,ASZ,AIR ASTRAKHAN,Russia,Y,5,0,5
2682,Hapagfly,,HF,HLF,HAPAG LLOYD,Germany,Y,6,0,6
2395,Flightline,,B5,FLT,FLIGHTLINE,United Kingdom,Y,6,0,6
